"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","448","Update a non-existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","2064","AddItemToCart_ItemAppearsInCart","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","CartTests","AddItemToCart_ItemAppearsInCart"
"","581","Checkout fails with invalid shipping details","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","",""
"","425","Partially update a non-existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","791","CreateBooking_ShouldCreateBookingSuccessfully","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","CreateBooking_ShouldCreateBookingSuccessfully"
"","414","Adding an item to the cart updates the badge counter","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","",""
"","310","Created booking can be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","453","Create a booking with valid details","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","530","Removing an item leaves the cart empty","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","",""
"","149","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","148","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","288","Get all bookings returns a non-empty list","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","1694","AddItemToCart_UpdatesCartBadge","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","CartTests","AddItemToCart_UpdatesCartBadge"
"","148","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","278","Partially update booking without authentication","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","332","Login fails with invalid credentials","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","151","GetBookingById_ReturnsExpectedBooking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","GetBookingById_ReturnsExpectedBooking"
"","80","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","303","Update booking without authentication","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","165","GetAllBookings_Returns200_WithResults","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","GetAllBookings_Returns200_WithResults"
"","220","Get booking by invalid ID returns Not Found","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","81","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","1892","InvalidCredentials_ShowsErrorMessage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","1933","ValidCheckout_ShowsConfirmation","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","CheckoutTests","ValidCheckout_ShowsConfirmation"
"","244","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","2260","CheckoutWithoutFirstName_ShowsError","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutFirstName_ShowsError"
"","1556","InvalidCredentials_ShowsErrorMessage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","2111","CheckoutWithoutPostalCode_ShowsError","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","437","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","320","Login fails with invalid credentials","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","535","Delete an existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","1561","InvalidCredentials_ShowsErrorMessage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","189","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","1374","ValidLogin_RedirectsToProductsPage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","371","Get an existing booking returns valid booking data","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","501","Checkout fails with invalid shipping details","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","",""
"","553","Confirmation message is displayed after a successful checkout","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","",""
"","358","Login fails with invalid credentials","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","574","Partially updated booking can be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","506","Partially update an existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","232","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","507","Update an existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","573","Deleted booking cannot be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","218","DeletedBooking_CannotBeRetrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","324","Successful login redirects to Products page","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","584","Updated booking can be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","149","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","1878","RemoveItemFromCart_CartBecomesEmpty","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","295","Delete an existing booking without authentication","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","76","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","145","UpdateExistingBooking_ReturnsUpdatedBooking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ReturnsUpdatedBooking"
"","463","Added item appears in the cart","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","",""
