"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1670","RemoveItemFromCart_CartBecomesEmpty","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","203","Create a booking with valid details","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","10","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","1702","AddItemToCart_UpdatesCartBadge","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","AddItemToCart_UpdatesCartBadge"
"","370","Adding an item to the cart updates the badge counter","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","2210","EmptyCredentials_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","EmptyCredentials_ShowsErrorMessage"
"","14","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","1754","ValidLogin_RedirectsToProductsPage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","27","Created booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","64","GetBookingById_ReturnsExpectedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetBookingById_ReturnsExpectedBooking"
"","18","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","26","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","2122","CheckoutWithoutPostalCode_ShowsError","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","298","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","265","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","10","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","18","Get booking by invalid ID returns Not Found","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","62","Delete an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","26","Delete an existing booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","52","Partially update an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","109","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","1511","LockedOutUser_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","LockedOutUser_ShowsErrorMessage"
"","34","Update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","35","Update an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","16","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","35","Partially update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","2513","CheckoutWithoutFirstName_ShowsError","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","CheckoutWithoutFirstName_ShowsError"
"","20","DeletedBooking_CannotBeRetrieved","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","25","Partially update booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","2393","AddItemToCart_ItemAppearsInCart","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","AddItemToCart_ItemAppearsInCart"
"","29","Update booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
