"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","18","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","2309","CheckoutWithoutFirstName_ShowsError","","2026-09-21","passed","2026-09-21","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutFirstName_ShowsError"
"","51","Created booking can be retrieved","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","79","Deleted booking cannot be retrieved","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","610","Confirmation message is displayed after a successful checkout","","2026-09-21","passed","2026-09-21","","CheckoutUIPlaywrightTests","",""
"","23","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","28","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","27","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","1877","ValidCheckout_ShowsConfirmation","","2026-09-21","passed","2026-09-21","","CheckoutUIPlaywrightTests","CheckoutTests","ValidCheckout_ShowsConfirmation"
"","241","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","50","GetAllBookings_Returns200_WithResults","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","GetAllBookings_Returns200_WithResults"
"","75","Update an existing booking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","36","Delete an existing booking without authentication","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","1584","AddItemToCart_UpdatesCartBadge","","2026-09-21","passed","2026-09-21","","CartUIPlaywrightTests","CartTests","AddItemToCart_UpdatesCartBadge"
"","23","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","262","Login fails with invalid credentials","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","",""
"","76","Updated booking can be retrieved","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","103","Delete an existing booking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","60","Partially update a non-existing booking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","518","Removing an item leaves the cart empty","","2026-09-21","passed","2026-09-21","","CartUIPlaywrightTests","",""
"","55","Get all bookings returns a non-empty list","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","277","Successful login redirects to Products page","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","",""
"","1209","ValidLogin_RedirectsToProductsPage","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","42","DeletedBooking_CannotBeRetrieved","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","1454","InvalidCredentials_ShowsErrorMessage","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","414","Added item appears in the cart","","2026-09-21","passed","2026-09-21","","CartUIPlaywrightTests","",""
"","497","Checkout fails with invalid shipping details","","2026-09-21","passed","2026-09-21","","CheckoutUIPlaywrightTests","",""
"","61","Get an existing booking returns valid booking data","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","193","Create a booking with valid details","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","30","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","576","Checkout fails with invalid shipping details","","2026-09-21","passed","2026-09-21","","CheckoutUIPlaywrightTests","",""
"","2067","AddItemToCart_ItemAppearsInCart","","2026-09-21","passed","2026-09-21","","CartUIPlaywrightTests","CartTests","AddItemToCart_ItemAppearsInCart"
"","1998","InvalidCredentials_ShowsErrorMessage","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","34","Get booking by invalid ID returns Not Found","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","31","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","1469","InvalidCredentials_ShowsErrorMessage","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","1950","CheckoutWithoutPostalCode_ShowsError","","2026-09-21","passed","2026-09-21","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","42","GetBookingById_ReturnsExpectedBooking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","GetBookingById_ReturnsExpectedBooking"
"","74","Partially updated booking can be retrieved","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","1769","RemoveItemFromCart_CartBecomesEmpty","","2026-09-21","passed","2026-09-21","","CartUIPlaywrightTests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","283","Login fails with invalid credentials","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","",""
"","22","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","361","Adding an item to the cart updates the badge counter","","2026-09-21","passed","2026-09-21","","CartUIPlaywrightTests","",""
"","543","CreateBooking_ShouldCreateBookingSuccessfully","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","CreateBooking_ShouldCreateBookingSuccessfully"
"","39","Partially update booking without authentication","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","288","Login fails with invalid credentials","","2026-09-21","passed","2026-09-21","","LoginUIPlaywrightTests","",""
"","10","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","43","Update booking without authentication","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","51","Update a non-existing booking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","81","Partially update an existing booking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","",""
"","18","UpdateExistingBooking_ReturnsUpdatedBooking","","2026-09-21","passed","2026-09-21","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ReturnsUpdatedBooking"
