"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","Checkout fails with invalid shipping details","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","12","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","20","UpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ReturnsUpdatedBooking"
"","57","Partially update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","30","Get booking by invalid ID returns Not Found","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","3446","AddItemToCart_ItemAppearsInCart","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","CartTests","AddItemToCart_ItemAppearsInCart"
"","1757","RemoveItemFromCart_CartBecomesEmpty","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","137","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","1789","ValidCheckout_ShowsConfirmation","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","CheckoutTests","ValidCheckout_ShowsConfirmation"
"","107","Delete an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","1164","ValidLogin_RedirectsToProductsPage","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","9","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-07-27","passed","2026-07-27","","NUnitAPITests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","1474","InvalidCredentials_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
