"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get booking by invalid ID returns Not Found","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","7","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","13","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","294","Successful login redirects to Products page","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","439","Removing an item leaves the cart empty","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","",""
"","23","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","515","Checkout fails with invalid shipping details","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","",""
"","522","CreateBooking_ShouldCreateBookingSuccessfully","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","CreateBooking_ShouldCreateBookingSuccessfully"
"","2758","CheckoutWithoutFirstName_ShowsError","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutFirstName_ShowsError"
"","61","Partially update an existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","20","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","15","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","1323","ValidLogin_RedirectsToProductsPage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","2554","AddItemToCart_ItemAppearsInCart","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","CartTests","AddItemToCart_ItemAppearsInCart"
"","43","Partially update a non-existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","270","Login fails with invalid credentials","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","41","Update a non-existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","63","Updated booking can be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","2449","InvalidCredentials_ShowsErrorMessage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","49","Update an existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","584","Confirmation message is displayed after a successful checkout","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","",""
"","562","Checkout fails with invalid shipping details","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","",""
"","1942","RemoveItemFromCart_CartBecomesEmpty","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","54","Deleted booking cannot be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","13","UpdateExistingBooking_ReturnsUpdatedBooking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ReturnsUpdatedBooking"
"","16","GetAllBookings_Returns200_WithResults","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","GetAllBookings_Returns200_WithResults"
"","7","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","29","Get all bookings returns a non-empty list","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","18","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","34","GetBookingById_ReturnsExpectedBooking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","GetBookingById_ReturnsExpectedBooking"
"","16","DeletedBooking_CannotBeRetrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","26","Delete an existing booking without authentication","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","51","Partially updated booking can be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","117","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","10","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","39","Get an existing booking returns valid booking data","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","28","Partially update booking without authentication","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","1617","AddItemToCart_UpdatesCartBadge","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","CartTests","AddItemToCart_UpdatesCartBadge"
"","29","Update booking without authentication","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","269","Login fails with invalid credentials","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","14","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","27","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-08-11","passed","2026-08-11","","NUnitAPITests","BookingApiTests","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","1908","ValidCheckout_ShowsConfirmation","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","CheckoutTests","ValidCheckout_ShowsConfirmation"
"","384","Added item appears in the cart","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","",""
"","265","Login fails with invalid credentials","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","",""
"","1981","CheckoutWithoutPostalCode_ShowsError","","2026-08-11","passed","2026-08-11","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","137","Delete an existing booking","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","354","Adding an item to the cart updates the badge counter","","2026-08-11","passed","2026-08-11","","CartUIPlaywrightTests","",""
"","169","Create a booking with valid details","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","1500","InvalidCredentials_ShowsErrorMessage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
"","29","Created booking can be retrieved","","2026-08-11","passed","2026-08-11","","NUnitAPITests","",""
"","1361","InvalidCredentials_ShowsErrorMessage","","2026-08-11","passed","2026-08-11","","LoginUIPlaywrightTests","LoginTests","InvalidCredentials_ShowsErrorMessage"
