"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","542","Confirmation message is displayed after a successful checkout","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","45","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","35","Update an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","21","Partially update booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","1458","CreateBooking_ShouldCreateBookingSuccessfully","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","CreateBooking_ShouldCreateBookingSuccessfully"
"","347","Adding an item to the cart updates the badge counter","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","29","Created booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","12","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","21","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","45","Deleted booking cannot be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","56","Partially updated booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","1591","AddItemToCart_UpdatesCartBadge","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","AddItemToCart_UpdatesCartBadge"
"","61","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","51","Partially update an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","34","Delete an existing booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","20","Update booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","1594","RemoveItemFromCart_CartBecomesEmpty","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","20","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","22","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","303","Create a booking with valid details","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","14","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","2313","EmptyCredentials_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","EmptyCredentials_ShowsErrorMessage"
"","294","Successful login redirects to Products page","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","273","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","54","Updated booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","515","Checkout fails with invalid shipping details","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","281","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","27","Get all bookings returns a non-empty list","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","408","Removing an item leaves the cart empty","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","2580","CheckoutWithoutFirstName_ShowsError","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","CheckoutWithoutFirstName_ShowsError"
"","533","Checkout fails with invalid shipping details","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","30","Update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","26","Get an existing booking returns valid booking data","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","18","DeletedBooking_CannotBeRetrieved","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","1816","CheckoutWithoutPostalCode_ShowsError","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","291","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","56","Delete an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","22","GetAllBookings_Returns200_WithResults","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetAllBookings_Returns200_WithResults"
"","1586","LockedOutUser_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","LockedOutUser_ShowsErrorMessage"
"","17","Get booking by invalid ID returns Not Found","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","2475","AddItemToCart_ItemAppearsInCart","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","AddItemToCart_ItemAppearsInCart"
"","13","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","14","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","13","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","44","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","1527","ValidLogin_RedirectsToProductsPage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","26","GetBookingById_ReturnsExpectedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetBookingById_ReturnsExpectedBooking"
"","14","UpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateExistingBooking_ReturnsUpdatedBooking"
"","1662","ValidCheckout_ShowsConfirmation","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","ValidCheckout_ShowsConfirmation"
"","414","Added item appears in the cart","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","66","Partially update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
