"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151","Delete an existing booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","340","Successful login redirects to Products page","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","253","Get an existing booking returns valid booking data","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","1420","AddItemToCart_UpdatesCartBadge","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","AddItemToCart_UpdatesCartBadge"
"","139","Partially update booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","527","Removing an item leaves the cart empty","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","273","DeleteBooking_ShouldReturnCreatedStatusCode","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeleteBooking_ShouldReturnCreatedStatusCode"
"","412","Delete an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","198","Get all bookings returns a non-empty list","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","483","Adding an item to the cart updates the badge counter","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","103","GetAllBookings_Returns200_WithResults","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetAllBookings_Returns200_WithResults"
"","550","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","66","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","180","Created booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","322","Partially updated booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","68","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","CreateBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","208","Update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","108","DeletedBooking_CannotBeRetrieved","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","71","GetBookingById_ReturnsExpectedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetBookingById_ReturnsExpectedBooking"
"","218","Partially update a non-existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","1572","RemoveItemFromCart_CartBecomesEmpty","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","RemoveItemFromCart_CartBecomesEmpty"
"","1475","ValidCheckout_ShowsConfirmation","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","ValidCheckout_ShowsConfirmation"
"","104","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","1265","LockedOutUser_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","LockedOutUser_ShowsErrorMessage"
"","3262","AddItemToCart_ItemAppearsInCart","","2026-07-27","passed","2026-07-27","","Cart UI Playwright Tests","CartTests","AddItemToCart_ItemAppearsInCart"
"","3376","CheckoutWithoutFirstName_ShowsError","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","CheckoutWithoutFirstName_ShowsError"
"","567","Confirmation message is displayed after a successful checkout","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","294","Partially update an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","674","Checkout fails with invalid shipping details","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","242","Update an existing booking","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","292","Deleted booking cannot be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","77","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateExistingBooking_ReturnsUpdatedBooking"
"","113","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","585","Checkout fails with invalid shipping details","","2026-07-27","passed","2026-07-27","","CheckoutUIPlaywrightTests","",""
"","1463","ValidLogin_RedirectsToProductsPage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","418","Added item appears in the cart","","2026-07-27","passed","2026-07-27","","CartUIPlaywrightTests","",""
"","68","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","DeleteBooking_WithoutAuthentication_ShouldReturnForbidden"
"","101","Get booking by invalid ID returns Not Found","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","299","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","37","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","139","Update booking without authentication","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","304","Updated booking can be retrieved","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
"","69","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","1676","CheckoutWithoutPostalCode_ShowsError","","2026-07-27","passed","2026-07-27","","Checkout UI Playwright Tests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","34","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
"","462","Login fails with invalid credentials","","2026-07-27","passed","2026-07-27","","LoginUIPlaywrightTests","",""
"","3146","EmptyCredentials_ShowsErrorMessage","","2026-07-27","passed","2026-07-27","","Login UI Playwright Tests","LoginTests","EmptyCredentials_ShowsErrorMessage"
"","33","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","70","UpdateExistingBooking_ReturnsUpdatedBooking","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","UpdateExistingBooking_ReturnsUpdatedBooking"
"","1356","CreateBooking_ShouldCreateBookingSuccessfully","","2026-07-27","passed","2026-07-27","","NUnit API Tests","BookingApiTests","CreateBooking_ShouldCreateBookingSuccessfully"
"","236","Create a booking with valid details","","2026-07-27","passed","2026-07-27","","NUnitAPITests","",""
