"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1919","CheckoutWithoutPostalCode_ShowsError","","2026-09-02","passed","2026-09-02","","CheckoutUIPlaywrightTests","CheckoutTests","CheckoutWithoutPostalCode_ShowsError"
"","42","Delete an existing booking without authentication","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","51","Created booking can be retrieved","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","189","Create a booking with valid details","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","366","Adding an item to the cart updates the badge counter","","2026-09-02","passed","2026-09-02","","CartUIPlaywrightTests","",""
"","29","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData","","2026-09-02","passed","2026-09-02","","NUnitAPITests","BookingApiTests","UpdateExistingBooking_ThenRetrieveBooking_ShouldReturnSameData"
"","541","Checkout fails with invalid shipping details","","2026-09-02","passed","2026-09-02","","CheckoutUIPlaywrightTests","",""
"","43","Partially update booking without authentication","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","61","Get all bookings returns a non-empty list","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","25","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden","","2026-09-02","passed","2026-09-02","","NUnitAPITests","BookingApiTests","UpdateBooking_WithoutAuthentication_ShouldReturnForbidden"
"","36","Get booking by invalid ID returns Not Found","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","73","Updated booking can be retrieved","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","89","Partially updated booking can be retrieved","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","28","DeletedBooking_CannotBeRetrieved","","2026-09-02","passed","2026-09-02","","NUnitAPITests","BookingApiTests","DeletedBooking_CannotBeRetrieved"
"","505","Removing an item leaves the cart empty","","2026-09-02","passed","2026-09-02","","CartUIPlaywrightTests","",""
"","1212","ValidLogin_RedirectsToProductsPage","","2026-09-02","passed","2026-09-02","","LoginUIPlaywrightTests","LoginTests","ValidLogin_RedirectsToProductsPage"
"","10","GetBooking_WithInvalidId_ShouldReturnNotFound","","2026-09-02","passed","2026-09-02","","NUnitAPITests","BookingApiTests","GetBooking_WithInvalidId_ShouldReturnNotFound"
"","64","Update an existing booking","","2026-09-02","passed","2026-09-02","","NUnitAPITests","",""
"","19","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed","","2026-09-02","passed","2026-09-02","","NUnitAPITests","BookingApiTests","PartiallyUpdateBooking_WithInvalidId_ShouldReturnMethodNotAllowed"
